ResponseId,LanguageHaveWorkedWith,DevType,skill_list,community_id
113,Bash/Shell;PHP;Python;TypeScript,"Developer, back-end;Security professional","['Bash/Shell', 'PHP', 'Python', 'TypeScript']",102
114,Bash/Shell;HTML/CSS;JavaScript;PHP;R;SQL,"Developer, back-end;Database administrator;Project manager;Security professional","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'R', 'SQL']",113
115,Groovy;Java;JavaScript;SQL,"Developer, full-stack;Engineering manager;Other (please specify):","['Groovy', 'Java', 'JavaScript', 'SQL']",102
116,Java;Python;SQL,"Developer, back-end","['Java', 'Python', 'SQL']",102
117,HTML/CSS;Java;JavaScript;Python,"Developer, back-end","['HTML/CSS', 'Java', 'JavaScript', 'Python']",102
118,C#,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end;Senior Executive (C-Suite, VP, etc.)",['C#'],97
119,HTML/CSS;JavaScript;SQL,Student,"['HTML/CSS', 'JavaScript', 'SQL']",113
120,Bash/Shell;C;C#;JavaScript;Perl;PowerShell;Python;R;Ruby;SQL,"Engineer, site reliability;Student;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'C', 'C#', 'JavaScript', 'Perl', 'PowerShell', 'Python', 'R', 'Ruby', 'SQL']",64
121,HTML/CSS;Java;Kotlin;SQL;TypeScript,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Designer","['HTML/CSS', 'Java', 'Kotlin', 'SQL', 'TypeScript']",113
122,Go;Java;Python,"Engineer, data","['Go', 'Java', 'Python']",102
123,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['HTML/CSS', 'JavaScript', 'PHP', 'Ruby', 'SQL', 'TypeScript']",113
124,Crystal;Java;Kotlin;SQL;VBA,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;System administrator","['Crystal', 'Java', 'Kotlin', 'SQL', 'VBA']",102
125,Go;JavaScript;Python;Rust;SQL;TypeScript,"Developer, back-end;Student;System administrator","['Go', 'JavaScript', 'Python', 'Rust', 'SQL', 'TypeScript']",35
127,JavaScript;Python;SQL,"Engineer, data;Data or business analyst","['JavaScript', 'Python', 'SQL']",102
128,HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer","['HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']",113
129,C#;Python,Data scientist or machine learning specialist;Student;Data or business analyst,"['C#', 'Python']",107
131,HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,"Developer, back-end","['HTML/CSS', 'Java', 'JavaScript', 'Perl', 'PHP', 'Python', 'SQL']",113
132,Bash/Shell;Go;JavaScript;Python;TypeScript,"Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'Go', 'JavaScript', 'Python', 'TypeScript']",102
133,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'TypeScript']",64
134,C#;JavaScript;Perl;Python;Ruby;SQL,"Developer, back-end","['C#', 'JavaScript', 'Perl', 'Python', 'Ruby', 'SQL']",64
135,HTML/CSS;JavaScript;TypeScript,"Developer, front-end","['HTML/CSS', 'JavaScript', 'TypeScript']",113
136,Bash/Shell;C;C++;Erlang;Go;Java;Python,"Developer, back-end","['Bash/Shell', 'C', 'C++', 'Erlang', 'Go', 'Java', 'Python']",35
138,Java;Kotlin;Ruby,"Developer, full-stack;Developer, back-end;Designer;Scientist","['Java', 'Kotlin', 'Ruby']",102
139,PHP;Python;Scala,"Developer, back-end","['PHP', 'Python', 'Scala']",113
140,C#;C++;Java;JavaScript;LISP;Python,DevOps specialist,"['C#', 'C++', 'Java', 'JavaScript', 'LISP', 'Python']",35
141,HTML/CSS;JavaScript;Kotlin;TypeScript,"Developer, front-end;Developer, full-stack;Designer","['HTML/CSS', 'JavaScript', 'Kotlin', 'TypeScript']",113
142,C#;HTML/CSS;Java;JavaScript;TypeScript,"Developer, front-end","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'TypeScript']",64
143,C++;Julia;Python;Rust,"Data scientist or machine learning specialist;Developer, embedded applications or devices","['C++', 'Julia', 'Python', 'Rust']",35
144,Bash/Shell;HTML/CSS;JavaScript;Python;Ruby;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Cloud infrastructure engineer;System administrator","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Python', 'Ruby', 'SQL']",102
145,Delphi;LISP;SQL,"Developer, desktop or enterprise applications","['Delphi', 'LISP', 'SQL']",13
146,Bash/Shell;C++;Go;Java;JavaScript;PHP;Rust;SQL;TypeScript,"Developer, back-end","['Bash/Shell', 'C++', 'Go', 'Java', 'JavaScript', 'PHP', 'Rust', 'SQL', 'TypeScript']",35
148,Java;JavaScript;Rust,"Engineer, data","['Java', 'JavaScript', 'Rust']",35
149,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, full-stack","['HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL', 'TypeScript']",113
151,Python,"Developer, back-end;Developer, desktop or enterprise applications",['Python'],14
152,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, full-stack;Data or business analyst","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']",102
153,C;C#;C++;Dart;Java;JavaScript;Kotlin;PHP;Python;Swift,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile","['C', 'C#', 'C++', 'Dart', 'Java', 'JavaScript', 'Kotlin', 'PHP', 'Python', 'Swift']",35
154,Go;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer;Data or business analyst","['Go', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']",102
155,Bash/Shell;C#;C++;Erlang;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;Scala;SQL;Swift,Other (please specify):,"['Bash/Shell', 'C#', 'C++', 'Erlang', 'Go', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'PHP', 'PowerShell', 'Python', 'Ruby', 'Scala', 'SQL', 'Swift']",102
156,C++;Go;Java;JavaScript;SQL;TypeScript,"Developer, full-stack","['C++', 'Go', 'Java', 'JavaScript', 'SQL', 'TypeScript']",35
157,C#;HTML/CSS;JavaScript;TypeScript,"Developer, back-end;DevOps specialist","['C#', 'HTML/CSS', 'JavaScript', 'TypeScript']",64
158,HTML/CSS;JavaScript,Designer,"['HTML/CSS', 'JavaScript']",16
159,Bash/Shell;Groovy;TypeScript,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator","['Bash/Shell', 'Groovy', 'TypeScript']",35
160,C#;HTML/CSS;JavaScript;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'TypeScript']",64
161,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python,"Developer, full-stack","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python']",64
162,Python,Database administrator;DevOps specialist;System administrator,['Python'],19
163,Bash/Shell;Python,Engineering manager,"['Bash/Shell', 'Python']",20
164,Java;Python;Ruby;SQL,"Developer, back-end","['Java', 'Python', 'Ruby', 'SQL']",102
165,C#;JavaScript;Kotlin;SQL,"Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.);System administrator","['C#', 'JavaScript', 'Kotlin', 'SQL']",64
166,Go;Groovy;Java;Python,"Developer, back-end;Developer, desktop or enterprise applications","['Go', 'Groovy', 'Java', 'Python']",102
168,Bash/Shell;C++;HTML/CSS;JavaScript;Python;R;TypeScript,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Data or business analyst","['Bash/Shell', 'C++', 'HTML/CSS', 'JavaScript', 'Python', 'R', 'TypeScript']",113
169,HTML/CSS;JavaScript;Python;R;SQL;TypeScript,"Developer, full-stack;Student","['HTML/CSS', 'JavaScript', 'Python', 'R', 'SQL', 'TypeScript']",113
170,Assembly;C;C++,"Developer, embedded applications or devices","['Assembly', 'C', 'C++']",35
171,Java;Python;TypeScript,"Developer, back-end","['Java', 'Python', 'TypeScript']",102
172,Bash/Shell;C;Python,"Developer, embedded applications or devices","['Bash/Shell', 'C', 'Python']",35
173,C++;Python,"Developer, back-end","['C++', 'Python']",25
176,HTML/CSS;JavaScript;PHP;PowerShell;SQL,System administrator,"['HTML/CSS', 'JavaScript', 'PHP', 'PowerShell', 'SQL']",113
178,Bash/Shell;Java;JavaScript;PowerShell;Python;SQL,"Developer, desktop or enterprise applications;Cloud infrastructure engineer;Marketing or sales professional","['Bash/Shell', 'Java', 'JavaScript', 'PowerShell', 'Python', 'SQL']",102
179,Bash/Shell;C++;HTML/CSS;Java;PHP;Python;SQL,"Developer, back-end;DevOps specialist;Developer, embedded applications or devices","['Bash/Shell', 'C++', 'HTML/CSS', 'Java', 'PHP', 'Python', 'SQL']",102
180,Go;Java;Ruby,"Developer, back-end","['Go', 'Java', 'Ruby']",102
181,C;C#;C++;Java;JavaScript;Perl;PHP;PowerShell;SQL;TypeScript;VBA,"Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer","['C', 'C#', 'C++', 'Java', 'JavaScript', 'Perl', 'PHP', 'PowerShell', 'SQL', 'TypeScript', 'VBA']",64
182,Java;Kotlin;Python;SQL,"Developer, back-end","['Java', 'Kotlin', 'Python', 'SQL']",102
183,C;C#;C++;Fortran;Java;Objective-C;Swift;VBA,Other (please specify):,"['C', 'C#', 'C++', 'Fortran', 'Java', 'Objective-C', 'Swift', 'VBA']",35
184,Go;Java;Python;SQL,"Developer, back-end;Cloud infrastructure engineer","['Go', 'Java', 'Python', 'SQL']",102
185,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,"Developer, full-stack;Other (please specify):","['Bash/Shell', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'Python', 'Ruby', 'SQL']",102
186,C++;Go;Groovy;Java;JavaScript;PHP;Python;SQL,"Developer, QA or test;Cloud infrastructure engineer","['C++', 'Go', 'Groovy', 'Java', 'JavaScript', 'PHP', 'Python', 'SQL']",102
187,Bash/Shell;C;Erlang;Python;Rust;SQL,"Developer, back-end;Developer, embedded applications or devices","['Bash/Shell', 'C', 'Erlang', 'Python', 'Rust', 'SQL']",35
188,Delphi;SQL,"Developer, desktop or enterprise applications","['Delphi', 'SQL']",26
189,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL', 'TypeScript']",113
190,Go,"Developer, back-end",['Go'],27
192,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack;Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'JavaScript', 'SQL']",64
193,Clojure;Java;Rust,"Engineer, data;Developer, back-end","['Clojure', 'Java', 'Rust']",28
194,Assembly;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;TypeScript,"Developer, back-end","['Assembly', 'C', 'C#', 'C++', 'Dart', 'HTML/CSS', 'Java', 'JavaScript', 'TypeScript']",64
195,Bash/Shell;C;C#;C++;Go;Java;JavaScript;Python;SQL;Swift;TypeScript,Other (please specify):,"['Bash/Shell', 'C', 'C#', 'C++', 'Go', 'Java', 'JavaScript', 'Python', 'SQL', 'Swift', 'TypeScript']",35
196,Assembly;Bash/Shell;C;C#;C++;Erlang;Go;Groovy;HTML/CSS;Java;JavaScript;Python,"Developer, back-end","['Assembly', 'Bash/Shell', 'C', 'C#', 'C++', 'Erlang', 'Go', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Python']",35
197,Python;Rust;TypeScript,"Data scientist or machine learning specialist;Developer, back-end","['Python', 'Rust', 'TypeScript']",35
199,Groovy;Java;Python;Rust,Other (please specify):,"['Groovy', 'Java', 'Python', 'Rust']",35
201,C#;HTML/CSS;JavaScript;Python,"Developer, full-stack;Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'JavaScript', 'Python']",64
202,JavaScript;TypeScript,"Developer, front-end","['JavaScript', 'TypeScript']",30
