ResponseId,LanguageHaveWorkedWith,DevType,skill_list
17,C#;Java;PHP;Python;R,"Developer, full-stack","['C#', 'Java', 'PHP', 'Python', 'R']"
18,Python;SQL,"Engineer, data","['Python', 'SQL']"
19,C#;PowerShell;SQL,"Developer, back-end;Developer, desktop or enterprise applications","['C#', 'PowerShell', 'SQL']"
21,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Student,"['Bash/Shell', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']"
22,Python;SQL;TypeScript,"Developer, full-stack","['Python', 'SQL', 'TypeScript']"
23,C#;SQL;TypeScript,"Developer, back-end","['C#', 'SQL', 'TypeScript']"
24,VBA,Other (please specify):,['VBA']
25,C#;C++;JavaScript;PHP;TypeScript,"Developer, full-stack","['C#', 'C++', 'JavaScript', 'PHP', 'TypeScript']"
26,Dart;Go;Java;Kotlin;Swift;TypeScript,"Developer, back-end;Developer, mobile","['Dart', 'Go', 'Java', 'Kotlin', 'Swift', 'TypeScript']"
27,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,"Developer, full-stack;Developer, back-end","['Bash/Shell', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'SQL']"
29,C;C++,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics","['C', 'C++']"
30,C#;JavaScript;PowerShell;SQL,"Developer, full-stack","['C#', 'JavaScript', 'PowerShell', 'SQL']"
32,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'SQL']"
33,C++;Python,Student,"['C++', 'Python']"
34,C++;Go;Python,Student;Academic researcher,"['C++', 'Go', 'Python']"
35,HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, back-end","['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'TypeScript']"
37,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,"Developer, back-end;Project manager","['C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'MATLAB', 'Python', 'SQL']"
38,HTML/CSS;JavaScript;PHP;Python;Ruby,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager","['HTML/CSS', 'JavaScript', 'PHP', 'Python', 'Ruby']"
40,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL,"Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst","['Bash/Shell', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Perl', 'PHP', 'Scala', 'SQL']"
41,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;Developer, embedded applications or devices;Cloud infrastructure engineer;Data or business analyst;Designer","['C#', 'C++', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript', 'VBA']"
42,Bash/Shell;HTML/CSS;Python;SQL,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end","['Bash/Shell', 'HTML/CSS', 'Python', 'SQL']"
43,C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","['C#', 'HTML/CSS', 'JavaScript', 'PHP', 'Ruby', 'SQL']"
46,JavaScript;TypeScript,"Developer, front-end","['JavaScript', 'TypeScript']"
48,Java;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack;Developer, back-end","['Java', 'JavaScript', 'PHP', 'SQL', 'TypeScript']"
49,Haskell;Java;Rust,"Developer, back-end;Developer, desktop or enterprise applications","['Haskell', 'Java', 'Rust']"
50,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']"
51,Bash/Shell;Julia;Python,Data scientist or machine learning specialist;Student;Academic researcher;Scientist,"['Bash/Shell', 'Julia', 'Python']"
52,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Rust;SQL,"Developer, back-end","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Rust', 'SQL']"
53,Bash/Shell;Go;Java;Python,"Engineer, site reliability;Developer, back-end;Student;Cloud infrastructure engineer","['Bash/Shell', 'Go', 'Java', 'Python']"
54,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']"
55,Bash/Shell;C#;HTML/CSS;Java;JavaScript;LISP;PowerShell;SQL,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'LISP', 'PowerShell', 'SQL']"
56,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, full-stack;Developer, back-end","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL', 'TypeScript']"
57,C++,"Developer, back-end;Developer, embedded applications or devices",['C++']
58,Bash/Shell;C#;HTML/CSS;PowerShell;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['Bash/Shell', 'C#', 'HTML/CSS', 'PowerShell', 'SQL', 'TypeScript']"
59,Dart;HTML/CSS;Java;Kotlin;Python,"Developer, mobile","['Dart', 'HTML/CSS', 'Java', 'Kotlin', 'Python']"
60,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;PHP;Python;SQL,"Student;Developer, embedded applications or devices","['Assembly', 'Bash/Shell', 'C', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']"
61,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Developer, game or graphics;Project manager;Cloud infrastructure engineer;Designer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator","['Bash/Shell', 'C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Rust', 'TypeScript']"
62,Bash/Shell;HTML/CSS;Python,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Student;Database administrator;Academic researcher;Data or business analyst;Designer;System administrator","['Bash/Shell', 'HTML/CSS', 'Python']"
63,Groovy;Java;Kotlin,"Developer, back-end;Designer","['Groovy', 'Java', 'Kotlin']"
64,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,"Developer, front-end;Developer, full-stack;Developer, embedded applications or devices;Designer","['Bash/Shell', 'C', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Swift', 'TypeScript']"
66,C#,"Developer, back-end;DevOps specialist",['C#']
67,C;C++;Delphi;HTML/CSS;Java;JavaScript,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","['C', 'C++', 'Delphi', 'HTML/CSS', 'Java', 'JavaScript']"
68,C#;HTML/CSS;JavaScript;PHP;SQL,"Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist","['C#', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL']"
69,C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,"Developer, back-end;Blockchain","['C++', 'HTML/CSS', 'JavaScript', 'PHP', 'PowerShell', 'Python', 'SQL', 'TypeScript']"
70,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Developer, back-end;Cloud infrastructure engineer;Designer","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'SQL', 'TypeScript']"
71,Java;Kotlin;PHP,"Developer, mobile","['Java', 'Kotlin', 'PHP']"
72,Bash/Shell;C;F#;Groovy;JavaScript;Python,"Student;DevOps specialist;Developer, embedded applications or devices","['Bash/Shell', 'C', 'F#', 'Groovy', 'JavaScript', 'Python']"
73,Java;SQL,Other (please specify):,"['Java', 'SQL']"
74,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL,"Developer, full-stack;Developer, QA or test;DevOps specialist","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'SQL']"
75,C#;HTML/CSS;SQL;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'SQL', 'TypeScript']"
76,Groovy;Java;Ruby,"Developer, back-end;Student","['Groovy', 'Java', 'Ruby']"
77,C#;JavaScript;Python;SQL,"Developer, back-end;Marketing or sales professional","['C#', 'JavaScript', 'Python', 'SQL']"
79,HTML/CSS;JavaScript;PHP,"Developer, full-stack","['HTML/CSS', 'JavaScript', 'PHP']"
80,Bash/Shell;Clojure;Java;JavaScript;SQL,"Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'Clojure', 'Java', 'JavaScript', 'SQL']"
81,Delphi,"Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices;Developer, game or graphics",['Delphi']
82,Bash/Shell;HTML/CSS;JavaScript,Marketing or sales professional,"['Bash/Shell', 'HTML/CSS', 'JavaScript']"
84,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Developer, full-stack;Engineering manager","['HTML/CSS', 'JavaScript', 'Ruby', 'SQL', 'TypeScript']"
85,HTML/CSS;JavaScript;PowerShell;TypeScript,"Developer, full-stack","['HTML/CSS', 'JavaScript', 'PowerShell', 'TypeScript']"
86,Bash/Shell;Java;Python;SQL,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end","['Bash/Shell', 'Java', 'Python', 'SQL']"
88,Bash/Shell;C#;Groovy;HTML/CSS;JavaScript,"Developer, back-end;Engineering manager","['Bash/Shell', 'C#', 'Groovy', 'HTML/CSS', 'JavaScript']"
89,HTML/CSS;TypeScript,"Developer, full-stack","['HTML/CSS', 'TypeScript']"
90,C#;C++;PowerShell;Python,"Developer, desktop or enterprise applications;Project manager","['C#', 'C++', 'PowerShell', 'Python']"
91,Python;R;SQL,"Engineer, data","['Python', 'R', 'SQL']"
92,C#;C++;Delphi;JavaScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer","['C#', 'C++', 'Delphi', 'JavaScript']"
93,Bash/Shell;C++;Go;HTML/CSS;Python;R,"Developer, back-end;Academic researcher;Scientist","['Bash/Shell', 'C++', 'Go', 'HTML/CSS', 'Python', 'R']"
94,Bash/Shell;HTML/CSS;JavaScript;PHP;TypeScript,"Developer, front-end","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'TypeScript']"
95,Python;R,Data scientist or machine learning specialist;Scientist,"['Python', 'R']"
96,Bash/Shell;C;C++;Python,"Developer, embedded applications or devices;Security professional","['Bash/Shell', 'C', 'C++', 'Python']"
97,Go;HTML/CSS;JavaScript;Ruby;Rust;SQL,"Developer, full-stack","['Go', 'HTML/CSS', 'JavaScript', 'Ruby', 'Rust', 'SQL']"
98,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Data or business analyst","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL', 'VBA']"
100,C;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,"Developer, full-stack","['C', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'MATLAB', 'Python', 'SQL']"
102,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack;Developer, back-end","['HTML/CSS', 'Java', 'JavaScript', 'PHP', 'SQL', 'TypeScript']"
103,C#;Python;SQL,"Developer, back-end;Student;DevOps specialist;Project manager;System administrator","['C#', 'Python', 'SQL']"
104,JavaScript;SQL,"Developer, full-stack","['JavaScript', 'SQL']"
105,C#;JavaScript;SQL,"Developer, back-end","['C#', 'JavaScript', 'SQL']"
106,Go;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack","['Go', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']"
108,Python;SQL;VBA,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Developer, embedded applications or devices","['Python', 'SQL', 'VBA']"
109,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'SQL']"
110,C#;JavaScript;Kotlin;PowerShell;Rust;TypeScript,"Developer, back-end","['C#', 'JavaScript', 'Kotlin', 'PowerShell', 'Rust', 'TypeScript']"
111,Go,"Developer, back-end;Student",['Go']
112,C#;HTML/CSS;JavaScript;PowerShell;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end","['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL']"
113,Bash/Shell;PHP;Python;TypeScript,"Developer, back-end;Security professional","['Bash/Shell', 'PHP', 'Python', 'TypeScript']"
114,Bash/Shell;HTML/CSS;JavaScript;PHP;R;SQL,"Developer, back-end;Database administrator;Project manager;Security professional","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'R', 'SQL']"
115,Groovy;Java;JavaScript;SQL,"Developer, full-stack;Engineering manager;Other (please specify):","['Groovy', 'Java', 'JavaScript', 'SQL']"
116,Java;Python;SQL,"Developer, back-end","['Java', 'Python', 'SQL']"
117,HTML/CSS;Java;JavaScript;Python,"Developer, back-end","['HTML/CSS', 'Java', 'JavaScript', 'Python']"
118,C#,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end;Senior Executive (C-Suite, VP, etc.)",['C#']
119,HTML/CSS;JavaScript;SQL,Student,"['HTML/CSS', 'JavaScript', 'SQL']"
120,Bash/Shell;C;C#;JavaScript;Perl;PowerShell;Python;R;Ruby;SQL,"Engineer, site reliability;Student;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'C', 'C#', 'JavaScript', 'Perl', 'PowerShell', 'Python', 'R', 'Ruby', 'SQL']"
121,HTML/CSS;Java;Kotlin;SQL;TypeScript,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Designer","['HTML/CSS', 'Java', 'Kotlin', 'SQL', 'TypeScript']"
122,Go;Java;Python,"Engineer, data","['Go', 'Java', 'Python']"
123,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['HTML/CSS', 'JavaScript', 'PHP', 'Ruby', 'SQL', 'TypeScript']"
124,Crystal;Java;Kotlin;SQL;VBA,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;System administrator","['Crystal', 'Java', 'Kotlin', 'SQL', 'VBA']"
125,Go;JavaScript;Python;Rust;SQL;TypeScript,"Developer, back-end;Student;System administrator","['Go', 'JavaScript', 'Python', 'Rust', 'SQL', 'TypeScript']"
127,JavaScript;Python;SQL,"Engineer, data;Data or business analyst","['JavaScript', 'Python', 'SQL']"
128,HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer","['HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']"
129,C#;Python,Data scientist or machine learning specialist;Student;Data or business analyst,"['C#', 'Python']"
131,HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,"Developer, back-end","['HTML/CSS', 'Java', 'JavaScript', 'Perl', 'PHP', 'Python', 'SQL']"
132,Bash/Shell;Go;JavaScript;Python;TypeScript,"Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'Go', 'JavaScript', 'Python', 'TypeScript']"
133,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'TypeScript']"
134,C#;JavaScript;Perl;Python;Ruby;SQL,"Developer, back-end","['C#', 'JavaScript', 'Perl', 'Python', 'Ruby', 'SQL']"
135,HTML/CSS;JavaScript;TypeScript,"Developer, front-end","['HTML/CSS', 'JavaScript', 'TypeScript']"
136,Bash/Shell;C;C++;Erlang;Go;Java;Python,"Developer, back-end","['Bash/Shell', 'C', 'C++', 'Erlang', 'Go', 'Java', 'Python']"
138,Java;Kotlin;Ruby,"Developer, full-stack;Developer, back-end;Designer;Scientist","['Java', 'Kotlin', 'Ruby']"
139,PHP;Python;Scala,"Developer, back-end","['PHP', 'Python', 'Scala']"
140,C#;C++;Java;JavaScript;LISP;Python,DevOps specialist,"['C#', 'C++', 'Java', 'JavaScript', 'LISP', 'Python']"
141,HTML/CSS;JavaScript;Kotlin;TypeScript,"Developer, front-end;Developer, full-stack;Designer","['HTML/CSS', 'JavaScript', 'Kotlin', 'TypeScript']"
142,C#;HTML/CSS;Java;JavaScript;TypeScript,"Developer, front-end","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'TypeScript']"
143,C++;Julia;Python;Rust,"Data scientist or machine learning specialist;Developer, embedded applications or devices","['C++', 'Julia', 'Python', 'Rust']"
144,Bash/Shell;HTML/CSS;JavaScript;Python;Ruby;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Cloud infrastructure engineer;System administrator","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Python', 'Ruby', 'SQL']"
145,Delphi;LISP;SQL,"Developer, desktop or enterprise applications","['Delphi', 'LISP', 'SQL']"
146,Bash/Shell;C++;Go;Java;JavaScript;PHP;Rust;SQL;TypeScript,"Developer, back-end","['Bash/Shell', 'C++', 'Go', 'Java', 'JavaScript', 'PHP', 'Rust', 'SQL', 'TypeScript']"
148,Java;JavaScript;Rust,"Engineer, data","['Java', 'JavaScript', 'Rust']"
149,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, full-stack","['HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL', 'TypeScript']"
151,Python,"Developer, back-end;Developer, desktop or enterprise applications",['Python']
152,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, full-stack;Data or business analyst","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']"
153,C;C#;C++;Dart;Java;JavaScript;Kotlin;PHP;Python;Swift,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile","['C', 'C#', 'C++', 'Dart', 'Java', 'JavaScript', 'Kotlin', 'PHP', 'Python', 'Swift']"
154,Go;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer;Data or business analyst","['Go', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']"
155,Bash/Shell;C#;C++;Erlang;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;Scala;SQL;Swift,Other (please specify):,"['Bash/Shell', 'C#', 'C++', 'Erlang', 'Go', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'PHP', 'PowerShell', 'Python', 'Ruby', 'Scala', 'SQL', 'Swift']"
156,C++;Go;Java;JavaScript;SQL;TypeScript,"Developer, full-stack","['C++', 'Go', 'Java', 'JavaScript', 'SQL', 'TypeScript']"
157,C#;HTML/CSS;JavaScript;TypeScript,"Developer, back-end;DevOps specialist","['C#', 'HTML/CSS', 'JavaScript', 'TypeScript']"
158,HTML/CSS;JavaScript,Designer,"['HTML/CSS', 'JavaScript']"
159,Bash/Shell;Groovy;TypeScript,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator","['Bash/Shell', 'Groovy', 'TypeScript']"
160,C#;HTML/CSS;JavaScript;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'TypeScript']"
161,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python,"Developer, full-stack","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python']"
162,Python,Database administrator;DevOps specialist;System administrator,['Python']
163,Bash/Shell;Python,Engineering manager,"['Bash/Shell', 'Python']"
164,Java;Python;Ruby;SQL,"Developer, back-end","['Java', 'Python', 'Ruby', 'SQL']"
165,C#;JavaScript;Kotlin;SQL,"Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.);System administrator","['C#', 'JavaScript', 'Kotlin', 'SQL']"
166,Go;Groovy;Java;Python,"Developer, back-end;Developer, desktop or enterprise applications","['Go', 'Groovy', 'Java', 'Python']"
168,Bash/Shell;C++;HTML/CSS;JavaScript;Python;R;TypeScript,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Data or business analyst","['Bash/Shell', 'C++', 'HTML/CSS', 'JavaScript', 'Python', 'R', 'TypeScript']"
169,HTML/CSS;JavaScript;Python;R;SQL;TypeScript,"Developer, full-stack;Student","['HTML/CSS', 'JavaScript', 'Python', 'R', 'SQL', 'TypeScript']"
170,Assembly;C;C++,"Developer, embedded applications or devices","['Assembly', 'C', 'C++']"
171,Java;Python;TypeScript,"Developer, back-end","['Java', 'Python', 'TypeScript']"
172,Bash/Shell;C;Python,"Developer, embedded applications or devices","['Bash/Shell', 'C', 'Python']"
173,C++;Python,"Developer, back-end","['C++', 'Python']"
176,HTML/CSS;JavaScript;PHP;PowerShell;SQL,System administrator,"['HTML/CSS', 'JavaScript', 'PHP', 'PowerShell', 'SQL']"
178,Bash/Shell;Java;JavaScript;PowerShell;Python;SQL,"Developer, desktop or enterprise applications;Cloud infrastructure engineer;Marketing or sales professional","['Bash/Shell', 'Java', 'JavaScript', 'PowerShell', 'Python', 'SQL']"
179,Bash/Shell;C++;HTML/CSS;Java;PHP;Python;SQL,"Developer, back-end;DevOps specialist;Developer, embedded applications or devices","['Bash/Shell', 'C++', 'HTML/CSS', 'Java', 'PHP', 'Python', 'SQL']"
180,Go;Java;Ruby,"Developer, back-end","['Go', 'Java', 'Ruby']"
181,C;C#;C++;Java;JavaScript;Perl;PHP;PowerShell;SQL;TypeScript;VBA,"Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer","['C', 'C#', 'C++', 'Java', 'JavaScript', 'Perl', 'PHP', 'PowerShell', 'SQL', 'TypeScript', 'VBA']"
182,Java;Kotlin;Python;SQL,"Developer, back-end","['Java', 'Kotlin', 'Python', 'SQL']"
183,C;C#;C++;Fortran;Java;Objective-C;Swift;VBA,Other (please specify):,"['C', 'C#', 'C++', 'Fortran', 'Java', 'Objective-C', 'Swift', 'VBA']"
184,Go;Java;Python;SQL,"Developer, back-end;Cloud infrastructure engineer","['Go', 'Java', 'Python', 'SQL']"
185,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,"Developer, full-stack;Other (please specify):","['Bash/Shell', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'Python', 'Ruby', 'SQL']"
186,C++;Go;Groovy;Java;JavaScript;PHP;Python;SQL,"Developer, QA or test;Cloud infrastructure engineer","['C++', 'Go', 'Groovy', 'Java', 'JavaScript', 'PHP', 'Python', 'SQL']"
187,Bash/Shell;C;Erlang;Python;Rust;SQL,"Developer, back-end;Developer, embedded applications or devices","['Bash/Shell', 'C', 'Erlang', 'Python', 'Rust', 'SQL']"
188,Delphi;SQL,"Developer, desktop or enterprise applications","['Delphi', 'SQL']"
189,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL', 'TypeScript']"
190,Go,"Developer, back-end",['Go']
192,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack;Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'JavaScript', 'SQL']"
193,Clojure;Java;Rust,"Engineer, data;Developer, back-end","['Clojure', 'Java', 'Rust']"
194,Assembly;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;TypeScript,"Developer, back-end","['Assembly', 'C', 'C#', 'C++', 'Dart', 'HTML/CSS', 'Java', 'JavaScript', 'TypeScript']"
195,Bash/Shell;C;C#;C++;Go;Java;JavaScript;Python;SQL;Swift;TypeScript,Other (please specify):,"['Bash/Shell', 'C', 'C#', 'C++', 'Go', 'Java', 'JavaScript', 'Python', 'SQL', 'Swift', 'TypeScript']"
196,Assembly;Bash/Shell;C;C#;C++;Erlang;Go;Groovy;HTML/CSS;Java;JavaScript;Python,"Developer, back-end","['Assembly', 'Bash/Shell', 'C', 'C#', 'C++', 'Erlang', 'Go', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Python']"
197,Python;Rust;TypeScript,"Data scientist or machine learning specialist;Developer, back-end","['Python', 'Rust', 'TypeScript']"
199,Groovy;Java;Python;Rust,Other (please specify):,"['Groovy', 'Java', 'Python', 'Rust']"
201,C#;HTML/CSS;JavaScript;Python,"Developer, full-stack;Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'JavaScript', 'Python']"
202,JavaScript;TypeScript,"Developer, front-end","['JavaScript', 'TypeScript']"
203,Bash/Shell;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,"Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Scientist","['Bash/Shell', 'C', 'C++', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']"
204,Bash/Shell;Python;SQL,"Engineer, data","['Bash/Shell', 'Python', 'SQL']"
205,Bash/Shell;C++;Java;Python,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist","['Bash/Shell', 'C++', 'Java', 'Python']"
